Wavelength (nm),Energy (eV),e1,e2,n,k
375.361786,3.303479,17.144901,20.80665,4.696026,2.215347
376.95459,3.289521,17.379139,20.584297,4.707379,2.186386
378.547394,3.27568,17.60568,20.359573,4.718141,2.157584
380.140198,3.261955,17.824608,20.132765,4.728324,2.128953
381.732971,3.248344,18.036003,19.904146,4.737945,2.100504
383.325745,3.234847,18.239964,19.673973,4.747017,2.072246
384.918518,3.221461,18.436592,19.442495,4.755554,2.044188
386.511261,3.208186,18.625996,19.209955,4.763572,2.016339
388.104004,3.19502,18.80829,18.976578,4.771084,1.988707
389.696747,3.181961,18.983599,18.742579,4.778105,1.961298
391.28949,3.169009,19.15204,18.508171,4.784648,1.93412
392.882202,3.156162,19.313747,18.273542,4.790728,1.907178
394.474915,3.143419,19.468851,18.038887,4.796358,1.880478
396.067596,3.130779,19.617489,17.804377,4.801551,1.854023
397.660278,3.11824,19.759792,17.570179,4.806321,1.82782
399.25296,3.1058,19.895906,17.336449,4.81068,1.801871
400.845612,3.09346,20.025965,17.103336,4.814642,1.776179
402.438232,3.081218,20.150112,16.870981,4.818219,1.750749
404.030884,3.069072,20.268494,16.639507,4.821423,1.72558
405.623474,3.057022,20.381243,16.409044,4.824266,1.700678
407.216095,3.045066,20.488504,16.179701,4.826761,1.676041
408.808655,3.033204,20.590418,15.951587,4.828917,1.651673
410.401276,3.021433,20.687126,15.724792,4.830748,1.627573
411.993805,3.009754,20.778761,15.499425,4.832262,1.603744
413.586334,2.998165,20.865465,15.275558,4.833472,1.580185
415.178864,2.986665,20.947372,15.053269,4.834387,1.556895
416.771393,2.975252,21.024618,14.832632,4.835018,1.533876
418.363861,2.963927,21.097334,14.613719,4.835373,1.511126
419.95636,2.952688,21.165648,14.396585,4.835464,1.488646
421.548767,2.941534,21.229689,14.181291,4.835299,1.466434
423.141205,2.930464,21.289581,13.96788,4.834887,1.444489
424.733643,2.919477,21.345453,13.756399,4.834237,1.42281
426.326019,2.908572,21.397421,13.546896,4.833356,1.401396
427.918396,2.897749,21.445606,13.339399,4.832255,1.380246
429.510803,2.887006,21.490124,13.133944,4.830939,1.359357
431.103119,2.876342,21.531086,12.930563,4.829418,1.338729
432.695404,2.865757,21.568605,12.729283,4.827699,1.318359
434.287689,2.85525,21.602789,12.530119,4.825788,1.298246
435.879974,2.84482,21.633745,12.33309,4.823693,1.278387
437.472229,2.834466,21.661575,12.138217,4.821421,1.25878
439.064453,2.824187,21.68638,11.945508,4.818978,1.239423
440.656677,2.813982,21.70826,11.754972,4.816371,1.220314
442.24884,2.803851,21.727306,11.56663,4.813605,1.201452
443.841003,2.793793,21.743616,11.380468,4.810687,1.182832
445.433167,2.783807,21.757278,11.196503,4.807622,1.164453
447.025238,2.773893,21.768383,11.014735,4.804416,1.146314
448.61734,2.764048,21.777012,10.835157,4.801075,1.12841
450.209381,2.754274,21.783253,10.657774,4.797603,1.110739
451.801422,2.744569,21.787182,10.482575,4.794005,1.0933
453.393402,2.734932,21.788883,10.309562,4.790287,1.07609
454.985413,2.725362,21.788429,10.13872,4.786453,1.059106
456.577332,2.71586,21.785896,9.970048,4.782508,1.042345
458.169281,2.706423,21.781357,9.803532,4.778455,1.025805
459.761169,2.697052,21.774879,9.639164,4.7743,1.009485
461.353027,2.687747,21.766531,9.476935,4.770046,0.99338
462.944885,2.678505,21.75638,9.316828,4.765697,0.977489
464.536713,2.669326,21.74449,9.158829,4.761257,0.961808
466.128479,2.660211,21.730921,9.002933,4.756729,0.946336
467.720215,2.651158,21.715734,8.849116,4.752118,0.931071
469.311951,2.642166,21.698988,8.697364,4.747427,0.916008
470.903656,2.633235,21.68074,8.547665,4.742658,0.901147
472.4953,2.624365,21.661043,8.400002,4.737816,0.886485
474.086914,2.615554,21.639954,8.254359,4.732903,0.872019
475.678528,2.606803,21.617519,8.110715,4.727922,0.857746
477.270111,2.598109,21.593792,7.96905,4.722877,0.843665
478.861633,2.589475,21.568819,7.829358,4.717769,0.829773
480.453125,2.580897,21.54265,7.691609,4.712602,0.816068
482.044586,2.572376,21.515327,7.555791,4.707378,0.802548
483.636047,2.563911,21.486897,7.42188,4.7021,0.789209
485.227386,2.555503,21.457401,7.289866,4.696771,0.776051
486.818787,2.547149,21.42688,7.159718,4.691391,0.76307
488.410095,2.53885,21.395376,7.031427,4.685966,0.750265
490.001404,2.530605,21.362928,6.904969,4.680495,0.737632
491.592621,2.522414,21.329573,6.78033,4.674981,0.725172
493.183899,2.514275,21.295345,6.657481,4.669426,0.71288
494.775055,2.506189,21.260283,6.536412,4.663833,0.700755
496.366211,2.498156,21.224419,6.417098,4.658203,0.688795
497.957275,2.490174,21.18779,6.299525,4.652539,0.676999
499.548401,2.482242,21.150423,6.183665,4.646841,0.665362
501.139404,2.474361,21.112352,6.069509,4.641112,0.653885
502.730377,2.466531,21.07361,5.957033,4.635353,0.642565
504.32135,2.45875,21.034222,5.846215,4.629567,0.6314
505.912262,2.451018,20.994217,5.73704,4.623754,0.620388
507.503113,2.443335,20.953627,5.629488,4.617916,0.609527
509.093933,2.4357,20.912474,5.52354,4.612055,0.598816
510.684753,2.428112,20.870785,5.419176,4.606173,0.588252
512.275513,2.420573,20.828587,5.316381,4.600269,0.577834
513.866211,2.41308,20.785904,5.215133,4.594347,0.56756
515.456909,2.405633,20.742758,5.115414,4.588408,0.557428
517.047485,2.398232,20.699175,5.017207,4.582451,0.547437
518.638062,2.390877,20.655176,4.920494,4.57648,0.537585
520.228638,2.383568,20.610781,4.825257,4.570496,0.52787
521.819092,2.376302,20.566013,4.731478,4.564498,0.518291
523.409546,2.369082,20.520893,4.639136,4.558488,0.508846
524.999939,2.361905,20.475439,4.54822,4.552469,0.499533
526.590332,2.354772,20.42967,4.458706,4.54644,0.490351
528.180603,2.347682,20.383608,4.370584,4.540403,0.481299
529.770874,2.340634,20.337267,4.283829,4.534358,0.472374
531.361145,2.333629,20.290667,4.198429,4.528307,0.463576
532.951294,2.326667,20.243824,4.114366,4.522252,0.454902
534.541382,2.319746,20.196756,4.031627,4.516191,0.446353
536.13147,2.312865,20.149477,3.95019,4.510128,0.437924
537.721558,2.306026,20.102005,3.87004,4.504062,0.429617
539.311523,2.299228,20.054354,3.791163,4.497994,0.421428
540.901489,2.292469,20.006538,3.713543,4.491926,0.413357
542.491333,2.285751,19.958572,3.637163,4.485858,0.405403
544.081177,2.279072,19.910473,3.562007,4.479791,0.397564
545.671021,2.272432,19.862249,3.488062,4.473726,0.389839
547.260681,2.265831,19.813917,3.415313,4.467663,0.382226
548.850403,2.259268,19.765488,3.34374,4.461604,0.374724
550.440063,2.252743,19.716974,3.273332,4.455548,0.367332
552.029663,2.246256,19.668388,3.204074,4.449497,0.360049
553.619141,2.239807,19.619745,3.135952,4.443452,0.352873
555.208618,2.233395,19.571049,3.068949,4.437413,0.345804
556.798035,2.227019,19.522318,3.003054,4.43138,0.33884
558.387451,2.22068,19.473557,2.938248,4.425355,0.331979
559.976746,2.214378,19.424782,2.874523,4.419338,0.325221
561.56604,2.208111,19.375999,2.811862,4.41333,0.318565
563.155212,2.20188,19.327219,2.750251,4.407331,0.312009
564.744385,2.195684,19.278452,2.689677,4.401342,0.305552
566.333496,2.189523,19.229708,2.630127,4.395364,0.299193
567.922546,2.183396,19.180992,2.571587,4.389397,0.292932
569.511536,2.177305,19.13232,2.514045,4.383441,0.286766
571.100464,2.171247,19.083693,2.457486,4.377497,0.280695
572.689331,2.165223,19.035124,2.4019,4.371567,0.274718
574.278198,2.159232,18.98662,2.347273,4.365649,0.268834
575.866943,2.153275,18.938187,2.293592,4.359745,0.263042
577.455688,2.147351,18.889833,2.240844,4.353856,0.25734
579.044312,2.14146,18.84157,2.18902,4.34798,0.251728
580.632874,2.135601,18.793398,2.138105,4.342121,0.246205
582.221375,2.129774,18.745329,2.088087,4.336277,0.24077
583.809875,2.123979,18.697367,2.038954,4.330449,0.235421
585.398315,2.118216,18.649521,1.990695,4.324638,0.230157
586.986633,2.112484,18.601795,1.9433,4.318843,0.224979
588.57489,2.106784,18.554195,1.896755,4.313066,0.219885
590.163147,2.101114,18.506729,1.851049,4.307308,0.214873
591.751343,2.095475,18.4594,1.806171,4.301567,0.209943
593.339417,2.089866,18.412218,1.762111,4.295845,0.205095
594.927429,2.084288,18.365183,1.718857,4.290142,0.200326
596.515442,2.078739,18.318304,1.676398,4.284458,0.195637
598.103394,2.07322,18.271585,1.634723,4.278794,0.191026
599.691223,2.067731,18.225031,1.593822,4.27315,0.186493
601.278992,2.062271,18.178646,1.553685,4.267527,0.182036
602.866699,2.056839,18.132437,1.514301,4.261924,0.177655
604.454407,2.051437,18.086405,1.475658,4.256343,0.173348
606.041931,2.046063,18.040558,1.437749,4.250783,0.169116
607.629517,2.040717,17.994896,1.400561,4.245245,0.164956
609.216919,2.0354,17.949427,1.364086,4.239729,0.160869
610.804321,2.03011,17.904152,1.328313,4.234236,0.156854
612.391663,2.024848,17.859077,1.293233,4.228765,0.152909
613.978943,2.019613,17.814203,1.258834,4.223318,0.149034
615.566101,2.014406,17.769537,1.225111,4.217894,0.145228
617.153259,2.009225,17.725079,1.19205,4.212493,0.14149
618.740295,2.004072,17.680836,1.159645,4.207117,0.13782
620.327271,1.998945,17.636806,1.127885,4.201764,0.134216
621.914185,1.993844,17.592997,1.096761,4.196436,0.130678
623.501099,1.98877,17.549408,1.066263,4.191132,0.127205
625.08783,1.983721,17.506046,1.036384,4.185853,0.123796
626.674561,1.978698,17.46291,1.007114,4.1806,0.120451
628.261169,1.973701,17.420004,0.978446,4.175372,0.117169
629.847778,1.96873,17.377331,0.950368,4.17017,0.113948
631.434204,1.963783,17.334892,0.922874,4.164993,0.110789
633.02063,1.958862,17.29269,0.895955,4.159842,0.107691
634.606995,1.953965,17.250729,0.869603,4.154718,0.104652
636.193237,1.949093,17.209007,0.843808,4.14962,0.101673
637.779419,1.944246,17.16753,0.818563,4.144548,0.098752
639.365601,1.939422,17.126299,0.79386,4.139504,0.095888
640.95166,1.934623,17.085312,0.769691,4.134486,0.093082
642.537659,1.929848,17.044577,0.746047,4.129496,0.090332
644.123535,1.925097,17.004089,0.722922,4.124533,0.087637
645.709351,1.920369,16.963856,0.700307,4.119597,0.084997
647.295105,1.915664,16.923876,0.678195,4.114689,0.082411
648.880737,1.910983,16.884151,0.656578,4.109809,0.079879
650.46637,1.906325,16.844683,0.635449,4.104957,0.0774
652.05188,1.901689,16.805471,0.614799,4.100133,0.074973
653.637329,1.897076,16.766518,0.594622,4.095337,0.072597
655.222717,1.892486,16.727825,0.574911,4.09057,0.070273
656.807983,1.887918,16.689392,0.555658,4.085831,0.067998
658.393188,1.883373,16.651222,0.536857,4.081121,0.065773
659.978333,1.87885,16.613316,0.5185,4.07644,0.063597
661.563354,1.874348,16.575672,0.500581,4.071787,0.061469
663.148315,1.869868,16.538292,0.483092,4.067163,0.059389
664.733276,1.86541,16.501177,0.466027,4.062569,0.057356
666.318054,1.860973,16.464327,0.449379,4.058003,0.055369
667.902771,1.856558,16.427744,0.433142,4.053468,0.053429
669.487427,1.852163,16.39143,0.417309,4.048961,0.051533
671.07196,1.84779,16.355381,0.401874,4.044484,0.049682
672.656433,1.843437,16.319599,0.38683,4.040036,0.047875
