Energy (eV),Wavelength (nm),e1,e2,n,k
2.941534,421.548767,3.037013,0,1.742703,0
2.930464,423.141205,3.036598,0,1.742584,0
2.919477,424.733643,3.036186,0,1.742465,0
2.908572,426.326019,3.035782,0,1.74235,0
2.897749,427.918396,3.03538,0,1.742234,0
2.887006,429.510803,3.034984,0,1.742121,0
2.876342,431.103119,3.034592,0,1.742008,0
2.865757,432.695404,3.034207,0,1.741897,0
2.85525,434.287689,3.033824,0,1.741788,0
2.84482,435.879974,3.033445,0,1.741679,0
2.834466,437.472229,3.033071,0,1.741571,0
2.824187,439.064453,3.032702,0,1.741465,0
2.813982,440.656677,3.032337,0,1.741361,0
2.803851,442.24884,3.031975,0,1.741257,0
2.793793,443.841003,3.031618,0,1.741154,0
2.783807,445.433167,3.031265,0,1.741053,0
2.773893,447.025238,3.030916,0,1.740953,0
2.764048,448.61734,3.03057,0,1.740853,0
2.754274,450.209381,3.030228,0,1.740755,0
2.744569,451.801422,3.02989,0,1.740658,0
2.734932,453.393402,3.029556,0,1.740562,0
2.725362,454.985413,3.029224,0,1.740467,0
2.71586,456.577332,3.028896,0,1.740372,0
2.706423,458.169281,3.028573,0,1.74028,0
2.697052,459.761169,3.028252,0,1.740187,0
2.687747,461.353027,3.027937,0,1.740097,0
2.678505,462.944885,3.027623,0,1.740006,0
2.669326,464.536713,3.027312,0,1.739917,0
2.660211,466.128479,3.027002,0,1.739828,0
2.651158,467.720215,3.0267,0,1.739741,0
2.642166,469.311951,3.026399,0,1.739655,0
2.633235,470.903656,3.026103,0,1.73957,0
2.624365,472.4953,3.025808,0,1.739485,0
2.615554,474.086914,3.025516,0,1.739401,0
2.606803,475.678528,3.025227,0,1.739318,0
2.598109,477.270111,3.02494,0,1.739235,0
2.589475,478.861633,3.024658,0,1.739154,0
2.580897,480.453125,3.024377,0,1.739074,0
2.572376,482.044586,3.024101,0,1.738994,0
2.563911,483.636047,3.023825,0,1.738915,0
2.555503,485.227386,3.023553,0,1.738837,0
2.547149,486.818787,3.023284,0,1.73876,0
2.53885,488.410095,3.023017,0,1.738683,0
2.530605,490.001404,3.022754,0,1.738607,0
2.522414,491.592621,3.022491,0,1.738531,0
2.514275,493.183899,3.022233,0,1.738457,0
2.506189,494.775055,3.021975,0,1.738383,0
2.498156,496.366211,3.021719,0,1.738309,0
2.490174,497.957275,3.021469,0,1.738237,0
2.482242,499.548401,3.021219,0,1.738165,0
2.474361,501.139404,3.020973,0,1.738095,0
2.466531,502.730377,3.020728,0,1.738024,0
2.45875,504.32135,3.020484,0,1.737954,0
2.451018,505.912262,3.020246,0,1.737885,0
2.443335,507.503113,3.020008,0,1.737817,0
2.4357,509.093933,3.019772,0,1.737749,0
2.428112,510.684753,3.019537,0,1.737682,0
