Energy (eV),Wavelength (nm),e1,e2,n,k
0.911002,1361.137939,12.249149,0,3.499878,0
0.908706,1364.577393,12.24616,0,3.499451,0
0.906421,1368.017212,12.243215,0,3.499031,0
0.904148,1371.457153,12.240271,0,3.49861,0
0.901886,1374.897217,12.237326,0,3.498189,0
0.899634,1378.337646,12.234399,0,3.497771,0
0.897394,1381.778198,12.231561,0,3.497365,0
0.895165,1385.218994,12.228722,0,3.496959,0
0.892947,1388.659912,12.225883,0,3.496553,0
0.89074,1392.101074,12.223044,0,3.496147,0
0.888543,1395.542236,12.220274,0,3.495751,0
0.886358,1398.983765,12.217537,0,3.495359,0
0.884183,1402.425293,12.214801,0,3.494968,0
0.882018,1405.867065,12.212064,0,3.494576,0
0.879864,1409.308838,12.209333,0,3.494186,0
0.87772,1412.750854,12.206694,0,3.493808,0
0.875587,1416.192871,12.204054,0,3.49343,0
0.873464,1419.63501,12.201414,0,3.493052,0
0.871351,1423.077393,12.198774,0,3.492674,0
0.869248,1426.519653,12.19617,0,3.492301,0
0.867156,1429.962036,12.193627,0,3.491937,0
0.865073,1433.404541,12.191085,0,3.491573,0
0.863001,1436.846924,12.188542,0,3.491209,0
0.860938,1440.289551,12.186,0,3.490845,0
0.858885,1443.732178,12.18351,0,3.490489,0
0.856842,1447.174805,12.181062,0,3.490138,0
0.854808,1450.617432,12.178615,0,3.489787,0
0.852785,1454.060059,12.176167,0,3.489436,0
0.85077,1457.502686,12.173719,0,3.489086,0
0.848765,1460.945313,12.171328,0,3.488743,0
0.84677,1464.387939,12.16897,0,3.488405,0
0.844784,1467.830444,12.166614,0,3.488067,0
0.842808,1471.272949,12.164256,0,3.487729,0
0.84084,1474.715454,12.1619,0,3.487391,0
0.838882,1478.157837,12.159593,0,3.487061,0
0.836933,1481.60022,12.157322,0,3.486735,0
0.834993,1485.04248,12.155052,0,3.48641,0
0.833062,1488.484619,12.152781,0,3.486084,0
0.83114,1491.926636,12.150512,0,3.485759,0
0.829227,1495.368652,12.148277,0,3.485438,0
0.827323,1498.810547,12.146095,0,3.485125,0
0.825427,1502.252197,12.143913,0,3.484812,0
0.823541,1505.693848,12.141732,0,3.484499,0
0.821663,1509.135376,12.13955,0,3.484186,0
0.819793,1512.57666,12.137378,0,3.483874,0
0.817932,1516.017822,12.135281,0,3.483573,0
0.81608,1519.45874,12.133183,0,3.483272,0
0.814236,1522.899536,12.131085,0,3.482971,0
0.812401,1526.340088,12.128988,0,3.48267,0
0.810574,1529.780518,12.126891,0,3.482368,0
0.808755,1533.220703,12.124849,0,3.482075,0
0.806945,1536.660767,12.122834,0,3.481786,0
0.805142,1540.100464,12.120819,0,3.481497,0
0.803348,1543.539917,12.118804,0,3.481207,0
0.801562,1546.979248,12.11679,0,3.480918,0
0.799784,1550.418213,12.114784,0,3.48063,0
0.798014,1553.857056,12.112847,0,3.480352,0
0.796252,1557.295532,12.110911,0,3.480073,0
0.794498,1560.733643,12.108974,0,3.479795,0
0.792752,1564.171631,12.107038,0,3.479517,0
0.791013,1567.609131,12.105103,0,3.479239,0
0.789283,1571.046509,12.103198,0,3.478965,0
0.78756,1574.483521,12.101337,0,3.478698,0
0.785845,1577.920166,12.099478,0,3.478431,0
0.784137,1581.356445,12.097618,0,3.478163,0
0.782437,1584.792358,12.095759,0,3.477896,0
0.780744,1588.227905,12.0939,0,3.477628,0
0.779059,1591.663208,12.092084,0,3.477367,0
0.777382,1595.098022,12.090302,0,3.477111,0
0.775711,1598.532471,12.08852,0,3.476855,0
0.774049,1601.966553,12.08674,0,3.476599,0
0.772393,1605.400269,12.084958,0,3.476343,0
0.770745,1608.833618,12.083177,0,3.476086,0
0.769104,1612.266357,12.081434,0,3.475836,0
0.76747,1615.698853,12.079724,0,3.47559,0
0.765843,1619.130859,12.078013,0,3.475344,0
0.764223,1622.562378,12.076303,0,3.475098,0
0.762611,1625.993408,12.074594,0,3.474852,0
0.761005,1629.424072,12.072884,0,3.474606,0
0.759406,1632.854248,12.0712,0,3.474363,0
0.757815,1636.283813,12.069563,0,3.474128,0
0.75623,1639.712891,12.067925,0,3.473892,0
0.754652,1643.141602,12.066288,0,3.473656,0
0.753081,1646.569702,12.064651,0,3.473421,0
0.751516,1649.997314,12.063014,0,3.473185,0
0.749959,1653.424438,12.061378,0,3.47295,0
