X (cm),Y (cm),Unweighted Error,Surface Roughness Thickness ,a-SiH Thickness,Amp,Br,Eo,Eg,Ep
-0.7,-2.1,0.003342389,0,107.249374,89.29879,2.398624,3.676771,1.610641,1.30751
0,-2.1,0.00311764,0,107.768784,89.300346,2.396652,3.677408,1.610057,1.307333
0.7,-2.1,0.003398899,0,107.899094,89.287453,2.396592,3.677494,1.609933,1.307593
1.4,-2.1,0.003089323,0,108.152893,89.258812,2.397938,3.676253,1.609763,1.308038
2.1,-2.1,0.002149016,0,108.277039,89.297592,2.397531,3.676246,1.609901,1.307305
2.8,-2.1,0.001677343,0,106.816605,90.723724,2.406102,3.661887,1.606717,1.335004
2.1,-2.8,0.002357481,0,108.729408,91.14637,2.387966,3.665072,1.585634,1.371643
1.4,-2.8,0.002681682,0,108.76487,91.131805,2.385147,3.666113,1.5873,1.372137
0.7,-2.8,0.00271683,0,108.640221,91.113518,2.383642,3.66498,1.589009,1.372458
0,-2.8,0.002834348,0,108.317062,91.105804,2.382724,3.664538,1.590096,1.372557
-0.7,-2.8,0.002690155,0,107.73317,91.152496,2.379769,3.664999,1.590496,1.371504
-1.4,-2.8,0.002670698,0,107.095352,91.156532,2.381856,3.664125,1.591322,1.371373
-2.1,-2.8,0.002202049,0,106.346191,91.277893,2.381456,3.664718,1.591706,1.368877
0,-3.5,0.002262472,0,108.817993,92.025131,2.387923,3.658207,1.584219,1.388155
