X (cm),Y (cm),Unweighted Error,Surface Layer Thickness,a-SiH Thickness,Amp,Br,Eo,Eg,Ep
3.9,7.5,0.002728734,0.767578,101.238297,86.381187,2.443116,3.754287,1.636598,1.223018
5.1,7.5,0.002488692,0.735932,99.068306,86.664948,2.444102,3.751734,1.637677,1.225655
6.3,7.5,0.002464642,0.71609,98.438362,86.802391,2.442813,3.749727,1.63693,1.22765
7.5,7.5,0.002408937,0.750017,98.608963,86.562744,2.441448,3.752169,1.637187,1.222323
8.7,7.5,0.002429905,0.725318,98.442894,86.768921,2.441503,3.749376,1.636294,1.22697
9.9,7.5,0.00246637,0.735976,98.828293,86.750916,2.442121,3.749961,1.63647,1.227182
11.1,7.5,0.00247844,0.73534,100.108078,86.761902,2.442001,3.748443,1.635073,1.229325
12.3,7.5,0.002627758,0.764678,104.644569,86.661026,2.44132,3.746308,1.631593,1.232174
12.3,6.3,0.002491719,0.771303,104.421776,86.50386,2.443361,3.748517,1.633826,1.227245
11.1,6.3,0.00245865,0.759844,99.980225,86.578209,2.441947,3.751266,1.636852,1.22406
9.9,6.3,0.00241578,0.758927,98.713821,86.533165,2.441599,3.752419,1.637748,1.221805
8.7,6.3,0.002419962,0.737098,98.250717,86.771347,2.440126,3.749864,1.637366,1.227012
7.5,6.3,0.002420535,0.733756,98.275635,86.70475,2.441183,3.750687,1.637923,1.225521
6.3,6.3,0.002443949,0.734139,98.478409,86.635445,2.442302,3.751441,1.638624,1.224732
5.1,6.3,0.002425551,0.757469,99.112701,86.455795,2.442882,3.753295,1.638593,1.221357
3.9,6.3,0.002554226,0.76358,101.119865,86.336807,2.443316,3.753861,1.637729,1.22143
2.7,6.3,0.002938416,0.786386,109.295082,85.97715,2.443316,3.751689,1.634338,1.220297
2.7,5.1,0.002933241,0.769364,108.939713,86.183525,2.442258,3.749896,1.634338,1.224762
3.9,5.1,0.002667765,0.807684,101.279274,86.263512,2.441016,3.754654,1.63713,1.223201
5.1,5.1,0.002460767,0.763049,99.202545,86.464691,2.441679,3.752664,1.638602,1.223717
6.3,5.1,0.002427737,0.737739,98.624702,86.637123,2.441785,3.751182,1.638834,1.225825
7.5,5.1,0.002424225,0.759899,98.496918,86.516312,2.441588,3.752597,1.639176,1.222453
8.7,5.1,0.002461532,0.745933,98.483879,86.682869,2.440034,3.750545,1.638074,1.226717
9.9,5.1,0.002407507,0.763464,98.864182,86.494095,2.440269,3.752028,1.638623,1.222844
11.1,5.1,0.002495399,0.770353,99.870895,86.514481,2.44159,3.751889,1.637741,1.224071
12.3,5.1,0.002458383,0.761071,103.961205,86.529488,2.44144,3.747589,1.634128,1.228837
12.3,3.9,0.002468903,0.767523,104.198746,86.520035,2.441395,3.746959,1.634446,1.230233
11.1,3.9,0.002440319,0.77512,100.462173,86.407661,2.440852,3.751724,1.638139,1.223525
9.9,3.9,0.002486306,0.772636,99.68663,86.432777,2.439518,3.752646,1.638338,1.22314
8.7,3.9,0.00244875,0.78446,99.517319,86.360954,2.439134,3.752881,1.638446,1.222389
7.5,3.9,0.002461485,0.765169,99.435051,86.471962,2.439621,3.752358,1.638777,1.22415
6.3,3.9,0.002466105,0.756609,99.42421,86.563538,2.440256,3.751225,1.638568,1.2263
5.1,3.9,0.002590606,0.792023,99.883667,86.243477,2.440668,3.755803,1.639591,1.220703
3.9,3.9,0.002694225,0.826649,101.543442,85.997559,2.441425,3.757289,1.638515,1.218132
2.7,3.9,0.00300863,0.835407,109.176895,85.644646,2.442745,3.754471,1.635617,1.215573
2.7,2.7,0.003017106,0.809447,111.529099,85.667686,2.441903,3.7519,1.635736,1.216787
3.9,2.7,0.002669596,0.818257,105.374069,86.09108,2.440886,3.751881,1.635979,1.22311
5.1,2.7,0.002588432,0.76873,104.339989,86.373314,2.439612,3.749653,1.63622,1.227549
6.3,2.7,0.002595685,0.777007,104.444397,86.318855,2.437685,3.749849,1.636009,1.226311
7.5,2.7,0.00289618,0.837236,104.835373,86.077827,2.435229,3.751586,1.634175,1.223594
8.7,2.7,0.002621288,0.780558,104.571457,86.378654,2.437604,3.748898,1.635763,1.227136
9.9,2.7,0.002628973,0.786335,104.61776,86.222755,2.437212,3.750385,1.636017,1.224139
11.1,2.7,0.002595109,0.804388,105.030136,86.240288,2.437334,3.749879,1.635116,1.22509
12.3,2.7,0.002717786,0.796012,107.559128,86.373032,2.439178,3.746169,1.633125,1.229624
