X (cm),Y (cm),Unweighted Error,Surface Layer Thickness,a-SiH Thickness,Amp,Br,Eo,Eg,Ep
2.7,12.3,0.00309149,0.768415,108.853539,86.616608,2.444151,3.744364,1.626322,1.233856
3.9,12.3,0.00282546,0.749369,104.218018,86.891495,2.4426,3.74328,1.626989,1.237848
5.1,12.3,0.002898112,0.730406,106.632607,87.125748,2.441255,3.738729,1.624444,1.244413
6.3,12.3,0.002828156,0.708366,106.974083,87.219086,2.440994,3.738599,1.625081,1.244052
7.5,12.3,0.002754863,0.702017,106.919594,87.174873,2.440687,3.738945,1.625698,1.24272
8.7,12.3,0.002752605,0.7033,106.836685,87.296394,2.442208,3.737964,1.62528,1.245
9.9,12.3,0.002804399,0.712019,106.710228,87.265877,2.441967,3.738481,1.625142,1.244435
11.1,12.3,0.003013986,0.74581,105.52507,86.997192,2.443029,3.742542,1.62494,1.240144
12.3,12.3,0.002786742,0.768587,104.896873,86.886993,2.442984,3.743631,1.625824,1.236077
12.3,11.1,0.002593588,0.783895,98.887802,86.617119,2.443076,3.749863,1.63147,1.226098
11.1,11.1,0.002658976,0.743082,99.128036,86.849098,2.443827,3.749438,1.632742,1.229492
9.9,11.1,0.002575643,0.727525,101.075523,86.867035,2.443069,3.747514,1.631766,1.230945
8.7,11.1,0.002537466,0.735831,100.879379,86.727402,2.441809,3.748676,1.632487,1.227808
7.5,11.1,0.00254829,0.715351,100.817154,86.906891,2.443115,3.746866,1.632304,1.231703
6.3,11.1,0.002561512,0.720062,100.825188,86.947372,2.442414,3.746349,1.632023,1.232961
5.1,11.1,0.002551408,0.725957,100.237549,86.879242,2.443726,3.747111,1.632457,1.231948
3.9,11.1,0.002633604,0.760529,96.195717,86.877968,2.444272,3.749857,1.6332,1.23132
2.7,11.1,0.003013099,0.780844,105.073685,86.410851,2.443437,3.750237,1.630515,1.227571
2.7,9.9,0.003052006,0.769515,108.548241,86.342026,2.443849,3.748313,1.630596,1.22751
3.9,9.9,0.002679314,0.742193,100.826691,86.657928,2.443612,3.750419,1.633883,1.228558
5.1,9.9,0.002559121,0.743714,99.579025,86.642494,2.442624,3.750857,1.634974,1.226018
6.3,9.9,0.002490526,0.733185,99.153114,86.727974,2.442197,3.750028,1.634965,1.225979
7.5,9.9,0.002608858,0.746223,99.305122,86.857933,2.440666,3.748019,1.632509,1.232184
8.7,9.9,0.00246616,0.734959,99.197441,86.809547,2.442288,3.749001,1.634452,1.227702
9.9,9.9,0.002517772,0.738015,99.516968,86.791214,2.442409,3.749166,1.633562,1.228002
11.1,9.9,0.002560678,0.722601,100.480316,86.922775,2.443447,3.746699,1.632695,1.232294
12.3,9.9,0.002626178,0.747749,104.183716,86.84024,2.442901,3.744849,1.629756,1.234825
12.3,8.7,0.002555464,0.742139,104.65712,86.794609,2.442825,3.744977,1.630573,1.233722
11.1,8.7,0.002528744,0.741343,100.268951,86.754272,2.44265,3.748917,1.634078,1.228351
9.9,8.7,0.002481061,0.748614,99.063057,86.679726,2.442619,3.750922,1.635555,1.2246
8.7,8.7,0.002473993,0.710989,98.590691,86.916039,2.442912,3.748303,1.635501,1.229536
7.5,8.7,0.002479945,0.740804,98.600632,86.688919,2.442059,3.750954,1.636201,1.22502
6.3,8.7,0.00246797,0.73312,98.625435,86.756073,2.442431,3.750414,1.635897,1.226763
5.1,8.7,0.002572529,0.737208,99.181831,86.630722,2.44292,3.751804,1.6362,1.225605
3.9,8.7,0.002564587,0.738489,101.158073,86.564941,2.443835,3.751421,1.635383,1.225925
2.7,8.7,0.002960621,0.752232,109.073891,86.365898,2.445292,3.747963,1.63186,1.227333
2.7,7.5,0.003067367,0.773185,109.427895,86.127411,2.443424,3.750473,1.633086,1.22273
