X (cm),Y (cm),Unweighted Error,a-SiH Thickness,Amp,Br,Eo,Eg,Ep
0,3.5,0.001790607,52.581413,90.027458,2.448012,3.638159,1.606096,1.292557
2.1,2.8,0.001907462,51.265911,90.726128,2.445518,3.632342,1.608451,1.296776
1.4,2.8,0.001878248,51.756706,90.17009,2.448124,3.634665,1.606368,1.293002
0.7,2.8,0.001793501,52.159523,88.914864,2.457721,3.643762,1.621095,1.249141
0,2.8,0.001936385,52.660522,89.767555,2.451603,3.637242,1.609607,1.284652
-0.7,2.8,0.001820088,53.041817,89.553291,2.456306,3.641457,1.615839,1.266192
-1.4,2.8,0.001795003,53.3596,89.115463,2.453573,3.642618,1.610776,1.267763
-2.1,2.8,0.001856249,53.706932,89.29126,2.454186,3.641708,1.611488,1.268559
-2.8,2.1,0.001803067,53.49588,89.08387,2.457979,3.640455,1.614091,1.256844
-2.1,2.1,0.002035043,53.441547,90.380737,2.449574,3.635344,1.603338,1.297318
-1.4,2.1,0.001790353,53.320732,89.756805,2.452682,3.640455,1.610679,1.275718
-0.7,2.1,0.002058322,53.197956,90.73645,2.44682,3.633086,1.601308,1.309975
0,2.1,0.001805698,52.850708,89.164764,2.459117,3.642818,1.622601,1.249211
0.7,2.1,0.001941925,52.460773,90.346146,2.451265,3.635911,1.610849,1.286012
1.4,2.1,0.00192213,51.954643,89.885727,2.45422,3.6359,1.614933,1.273965
2.1,2.1,0.001824428,51.418079,89.62587,2.453297,3.636713,1.614562,1.270898
2.8,2.1,0.001953913,50.919258,90.655312,2.447323,3.629534,1.602021,1.303757
2.8,1.4,0.001980412,51.048462,90.644684,2.448845,3.62921,1.604573,1.297455
2.1,1.4,0.002129568,51.680565,90.979706,2.447881,3.628296,1.601235,1.30882
1.4,1.4,0.001738881,52.165997,89.707481,2.450415,3.637219,1.609658,1.275978
0.7,1.4,0.001910115,52.526722,89.785667,2.453202,3.638126,1.609878,1.276301
0,1.4,0.001817691,52.94239,89.988197,2.450119,3.637966,1.607249,1.283929
-0.7,1.4,0.001717485,53.083038,88.746742,2.460441,3.645133,1.624293,1.239088
-1.4,1.4,0.001771329,53.197868,89.071884,2.45402,3.642053,1.611358,1.262149
-2.1,1.4,0.002016659,53.18919,90.161018,2.452774,3.634738,1.606881,1.287343
-2.8,1.4,0.001856361,53.169456,89.632912,2.451906,3.634429,1.605426,1.277553
-2.8,0.7,0.001837422,52.853046,89.633972,2.454245,3.634125,1.60408,1.275763
-2.1,0.7,0.001964228,53.020489,90.473473,2.450491,3.633487,1.605763,1.289881
-1.4,0.7,0.001917734,53.081215,90.28511,2.451155,3.634809,1.606487,1.288798
-0.7,0.7,0.00182623,52.959282,89.864532,2.453346,3.638074,1.610554,1.275185
0,0.7,0.001716772,52.790794,88.954224,2.455183,3.643131,1.613387,1.255865
0.7,0.7,0.001718811,52.506897,89.0392,2.453326,3.642317,1.614825,1.255196
1.4,0.7,0.001707741,52.123466,89.09391,2.457348,3.640942,1.619187,1.250177
2.1,0.7,0.001948209,51.735786,90.521515,2.450668,3.631314,1.604595,1.293968
2.8,0.7,0.001827564,51.139061,90.165627,2.449718,3.629887,1.604064,1.286803
3.5,0,0.002212202,50.50861,90.425766,2.449326,3.61891,1.591006,1.308349
2.8,0,0.002197896,51.170086,90.525505,2.449166,3.624902,1.594838,1.30563
2.1,0,0.001938774,51.723896,90.215881,2.452281,3.631991,1.603769,1.286935
1.4,0,0.001897136,52.115974,90.112251,2.453292,3.634689,1.608463,1.280101
0.7,0,0.001930696,52.44239,90.16169,2.453106,3.631496,1.606665,1.28155
0,0,0.001775796,52.675209,88.982758,2.450219,3.64327,1.61382,1.255779
-0.7,0,0.001784974,52.769112,89.414627,2.457797,3.640889,1.617565,1.257471
-1.4,0,0.001757346,52.85865,89.096115,2.462591,3.641362,1.620658,1.247415
-2.1,0,0.00169474,52.849419,89.106667,2.456707,3.640641,1.614165,1.255227
-2.8,0,0.001867231,52.657257,89.97287,2.454614,3.63253,1.605168,1.280076
-3.5,0,0.001812154,52.627094,89.512863,2.451752,3.626048,1.587743,1.293554
-2.8,-0.7,0.001746013,52.414398,89.839066,2.453783,3.634336,1.607455,1.274192
-2.1,-0.7,0.001683636,52.650764,88.580711,2.458695,3.643145,1.619429,1.239297
-1.4,-0.7,0.001681948,52.722759,89.12159,2.461149,3.642384,1.622414,1.24242
