X (cm),Y (cm),Unweighted Error,a-SiH Thickness,Amp,Br,Eo,Eg,Ep
-0.7,-0.7,0.001872347,52.721947,89.855118,2.458488,3.63814,1.618725,1.262158
0,-0.7,0.001795391,52.637184,89.870064,2.45729,3.636773,1.619978,1.260825
0.7,-0.7,0.00174355,52.291401,89.498718,2.458094,3.639763,1.616772,1.25598
1.4,-0.7,0.00187752,52.083538,90.222527,2.453205,3.633785,1.608291,1.279787
2.1,-0.7,0.001954736,51.704865,90.235542,2.453223,3.630987,1.604909,1.283321
2.8,-0.7,0.001983557,51.109142,89.961906,2.453549,3.626369,1.600364,1.282333
2.8,-1.4,0.002027559,50.809834,89.715836,2.452945,3.620934,1.594187,1.286408
2.1,-1.4,0.002041967,51.631409,90.355721,2.450791,3.627196,1.597354,1.295739
1.4,-1.4,0.001803604,52.029888,89.832138,2.453743,3.633919,1.607118,1.272521
0.7,-1.4,0.001775822,52.260109,89.462593,2.457732,3.638579,1.615712,1.257893
0,-1.4,0.001708453,52.426216,88.872375,2.463306,3.643524,1.624174,1.234447
-0.7,-1.4,0.001686093,52.624115,89.271027,2.458122,3.641906,1.619265,1.248911
-1.4,-1.4,0.001720734,52.643005,88.624397,2.45772,3.644428,1.620396,1.237454
-2.1,-1.4,0.001657363,52.468025,87.999847,2.464245,3.64521,1.627458,1.218482
-2.8,-1.4,0.001613689,52.223816,88.76593,2.456106,3.640194,1.616905,1.246512
-2.8,-2.1,0.00177694,52.078072,88.620552,2.461042,3.642549,1.62087,1.235705
-2.1,-2.1,0.001651672,52.2542,88.6427,2.462805,3.64398,1.62771,1.228225
-1.4,-2.1,0.001645618,52.479595,88.645508,2.462483,3.644973,1.624974,1.230965
-0.7,-2.1,0.00190229,52.517345,87.411949,2.466949,3.651875,1.636024,1.19393
0,-2.1,0.001685407,52.434822,89.081673,2.459521,3.638136,1.615845,1.247049
0.7,-2.1,0.001697469,52.232159,88.910843,2.460715,3.641117,1.61971,1.242436
1.4,-2.1,0.00179016,51.944176,89.626015,2.45943,3.635649,1.615567,1.2569
2.1,-2.1,0.001768747,51.511589,89.820465,2.453255,3.62667,1.601539,1.276994
2.8,-2.1,0.001734959,50.426788,89.306526,2.453898,3.623888,1.600073,1.269767
2.1,-2.8,0.001733367,51.375702,89.520966,2.456233,3.633112,1.607114,1.266579
1.4,-2.8,0.001736426,51.83033,89.324409,2.454946,3.629438,1.604239,1.264736
0.7,-2.8,0.001772507,52.130287,89.698105,2.459981,3.636005,1.616365,1.257586
0,-2.8,0.001880391,52.37133,90.344643,2.454901,3.632996,1.609217,1.280432
-0.7,-2.8,0.00177666,52.314888,89.250755,2.462656,3.638773,1.620686,1.246835
-1.4,-2.8,0.001697664,52.213409,88.387184,2.462403,3.642505,1.622786,1.229802
-2.1,-2.8,0.001638129,52.083271,88.909538,2.462164,3.641051,1.623482,1.236735
0,-3.5,0.001837315,52.257111,90.150475,2.444845,3.631853,1.601208,1.291156
